"","DATE","mobility","ratio"
"1","2020-03-01","driving",1
"2","2020-03-02","driving",1.05992973754908
"3","2020-03-03","driving",1.08968795205621
"4","2020-03-04","driving",1.11510642694772
"5","2020-03-05","driving",1.16387683405662
"6","2020-03-06","driving",1.31018805538334
"7","2020-03-07","driving",1.30006199628022
"8","2020-03-08","driving",0.999173382930358
"9","2020-03-09","driving",1.08090514569126
"10","2020-03-10","driving",1.04794379003926
"11","2020-03-11","driving",1.03606116966315
"12","2020-03-12","driving",0.970758421161397
"13","2020-03-13","driving",1.0369911138665
"14","2020-03-14","driving",0.915995040297582
"15","2020-03-15","driving",0.666046703864435
"16","2020-03-16","driving",0.700661293655714
"17","2020-03-17","driving",0.624819177516016
"18","2020-03-18","driving",0.613556519942137
"19","2020-03-19","driving",0.560446373217607
"20","2020-03-20","driving",0.614279809878074
"21","2020-03-21","driving",0.507646207894193
"22","2020-03-22","driving",0.354825377144038
"23","2020-03-23","driving",0.374664186815458
"24","2020-03-24","driving",0.439450299648688
"25","2020-03-25","driving",0.40700557966522
"26","2020-03-26","driving",0.448956395949576
"27","2020-03-27","driving",0.497520148791073
"28","2020-03-28","driving",0.384170283116346
"29","2020-03-29","driving",0.316594337673073
"30","2020-03-30","driving",0.40700557966522
"31","2020-03-31","driving",0.409072122339326
"32","2020-04-01","driving",0.425707790865881
"33","2020-04-02","driving",0.42374457532548
"34","2020-04-03","driving",0.454329406902253
"35","2020-04-04","driving",0.427154370737756
"36","2020-04-05","driving",0.352345525935111
"37","2020-04-06","driving",0.438727009712751
"38","2020-04-07","driving",0.439036991113867
"39","2020-04-08","driving",0.428187642074809
"40","2020-04-09","driving",0.41361851622236
"41","2020-04-10","driving",0.474271543707378
"42","2020-04-11","driving",0.460322380657161
"43","2020-04-12","driving",0.323723909898739
"44","2020-04-13","driving",0.376730729489564
"45","2020-04-14","driving",0.474271543707378
"46","2020-04-15","driving",0.480987807398223
"47","2020-04-16","driving",0.488014052490184
"48","2020-04-17","driving",0.535854515395743
"49","2020-04-18","driving",0.470758421161397
"50","2020-04-19","driving",0.442963422194668
"51","2020-04-20","driving",0.490700557966522
"52","2020-04-21","driving",0.461768960529035
"53","2020-04-22","driving",0.519425501136598
"54","2020-04-23","driving",0.510022731969415
"55","2020-04-24","driving",0.540090927877661
"56","2020-04-25","driving",0.594337673072949
"57","2020-04-26","driving",0.397912791899153
"58","2020-04-27","driving",0.497210167389957
"59","2020-04-28","driving",0.581628435627196
"60","2020-04-29","driving",0.535234552593511
"61","2020-04-30","driving",0.530068195908245
"62","2020-05-01","driving",0.634325273816904
"63","2020-05-02","driving",0.687952056209961
"64","2020-05-03","driving",0.574395536267824
"65","2020-05-04","driving",0.602293862368258
"66","2020-05-05","driving",0.641971481711097
"67","2020-05-06","driving",0.592684438933664
"68","2020-05-07","driving",0.658917131638768
"69","2020-05-08","driving",0.664186815457739
"70","2020-05-09","driving",0.677929324240546
"71","2020-05-10","driving",0.59123785906179
"72","2020-05-13","driving",0.70758421161397
"73","2020-05-14","driving",0.734655920644761
"74","2020-05-15","driving",0.869187848729076
"75","2020-05-16","driving",0.852655507336226
"76","2020-05-17","driving",0.677309361438314
"77","2020-05-18","driving",0.726389749948336
"78","2020-05-19","driving",0.766067369291176
"79","2020-05-20","driving",0.798408762140938
"80","2020-05-21","driving",0.843666046703864
"81","2020-05-22","driving",0.92508782806365
"82","2020-05-23","driving",0.750464972101674
"83","2020-05-24","driving",0.772783632982021
"84","2020-05-25","driving",0.718640214920438
"85","2020-05-26","driving",0.854618722876627
"86","2020-05-27","driving",0.881070469105187
"87","2020-05-28","driving",0.846249225046497
"88","2020-05-29","driving",0.950402975821451
"89","2020-05-30","driving",0.993800371977681
"90","2020-05-31","driving",0.81225459805745
"91","2020-06-01","driving",0.85720190121926
"92","2020-06-02","driving",0.836639801611903
"93","2020-06-03","driving",0.825273816904319
"94","2020-06-04","driving",0.94027691671833
"95","2020-06-05","driving",0.966625335813185
"96","2020-06-06","driving",1.04215747055177
"97","2020-06-07","driving",0.895432940690225
"98","2020-06-08","driving",0.952469518495557
"99","2020-06-09","driving",1.04040090927878
"100","2020-06-10","driving",1.0195288282703
"101","2020-06-11","driving",0.946166563339533
"102","2020-06-12","driving",1.22070675759454
"103","2020-06-13","driving",1.15705724323207
"104","2020-06-14","driving",0.937073775573466
"105","2020-06-15","driving",1.01281256457946
"106","2020-06-16","driving",1.06912585244885
"107","2020-06-17","driving",1.07770200454639
"108","2020-06-18","driving",1.09836743128746
"109","2020-06-19","driving",1.30863814837776
"110","2020-06-20","driving",1.20841082868361
"111","2020-06-21","driving",0.929014259144451
"112","2020-06-22","driving",1.13194874974168
"113","2020-06-23","driving",1.17358958462492
"114","2020-06-24","driving",1.18443893366398
"115","2020-06-25","driving",1.22122339326307
"116","2020-06-26","driving",1.40142591444513
"117","2020-06-27","driving",1.20169456499277
"118","2020-06-28","driving",1.04267410622029
"119","2020-06-29","driving",1.19549493697045
"120","2020-06-30","driving",1.180925811118
"121","2020-03-01","transit",1
"122","2020-03-02","transit",1.06734858062292
"123","2020-03-03","transit",1.07907137110677
"124","2020-03-04","transit",1.13377772669808
"125","2020-03-05","transit",1.15549936788875
"126","2020-03-06","transit",1.2461786001609
"127","2020-03-07","transit",1.31571083783473
"128","2020-03-08","transit",0.989886219974715
"129","2020-03-09","transit",1.05964831628548
"130","2020-03-10","transit",0.978048500172394
"131","2020-03-11","transit",0.93839788530054
"132","2020-03-12","transit",0.794161590621767
"133","2020-03-13","transit",0.76175152281347
"134","2020-03-14","transit",0.668543845534996
"135","2020-03-15","transit",0.46718767957706
"136","2020-03-16","transit",0.42029651764165
"137","2020-03-17","transit",0.346511895184462
"138","2020-03-18","transit",0.314331686013102
"139","2020-03-19","transit",0.289621882542236
"140","2020-03-20","transit",0.277324445466038
"141","2020-03-21","transit",0.215377542811171
"142","2020-03-22","transit",0.172049189748305
"143","2020-03-23","transit",0.177680726353293
"144","2020-03-24","transit",0.189863234111022
"145","2020-03-25","transit",0.176071715894725
"146","2020-03-26","transit",0.184461556142972
"147","2020-03-27","transit",0.196988851856108
"148","2020-03-28","transit",0.15400528674865
"149","2020-03-29","transit",0.147569244914378
"150","2020-03-30","transit",0.177335938397885
"151","2020-03-31","transit",0.167222158372601
"152","2020-04-01","transit",0.165383289277095
"153","2020-04-02","transit",0.159062176761292
"154","2020-04-03","transit",0.158142742213539
"155","2020-04-04","transit",0.146075163774279
"156","2020-04-05","transit",0.138259970118377
"157","2020-04-06","transit",0.163889208136996
"158","2020-04-07","transit",0.155614297207218
"159","2020-04-08","transit",0.153085852200896
"160","2020-04-09","transit",0.146305022411217
"161","2020-04-10","transit",0.153660498793242
"162","2020-04-11","transit",0.143891506723365
"163","2020-04-12","transit",0.129295483277784
"164","2020-04-13","transit",0.146534881048155
"165","2020-04-14","transit",0.162395126996897
"166","2020-04-15","transit",0.154235145385588
"167","2020-04-16","transit",0.153315710837835
"168","2020-04-17","transit",0.154694862659464
"169","2020-04-18","transit",0.139064475347661
"170","2020-04-19","transit",0.144925870589587
"171","2020-04-20","transit",0.167566946328008
"172","2020-04-21","transit",0.155039650614872
"173","2020-04-22","transit",0.161590621767613
"174","2020-04-23","transit",0.161245833812205
"175","2020-04-24","transit",0.158947247442823
"176","2020-04-25","transit",0.161820480404551
"177","2020-04-26","transit",0.140098839213883
"178","2020-04-27","transit",0.172164119066774
"179","2020-04-28","transit",0.184001838869096
"180","2020-04-29","transit",0.176876221124009
"181","2020-04-30","transit",0.171244684519021
"182","2020-05-01","transit",0.189748304792553
"183","2020-05-02","transit",0.188139294333985
"184","2020-05-03","transit",0.179749454085737
"185","2020-05-04","transit",0.207102631881393
"186","2020-05-05","transit",0.206413055970578
"187","2020-05-06","transit",0.195724629352948
"188","2020-05-07","transit",0.202735317779566
"189","2020-05-08","transit",0.185495920009194
"190","2020-05-09","transit",0.177106079760947
"191","2020-05-10","transit",0.168141592920354
"192","2020-05-13","transit",0.212044592575566
"193","2020-05-14","transit",0.213078956441788
"194","2020-05-15","transit",0.231467647396851
"195","2020-05-16","transit",0.220319503505344
"196","2020-05-17","transit",0.200206872773244
"197","2020-05-18","transit",0.230433283530629
"198","2020-05-19","transit",0.230088495575221
"199","2020-05-20","transit",0.231927364670727
"200","2020-05-21","transit",0.239167911734283
"201","2020-05-22","transit",0.243535225836111
"202","2020-05-23","transit",0.2074474198368
"203","2020-05-24","transit",0.222962877830134
"204","2020-05-25","transit",0.238478335823469
"205","2020-05-26","transit",0.268130099988507
"206","2020-05-27","transit",0.266865877485346
"207","2020-05-28","transit",0.255143087001494
"208","2020-05-29","transit",0.268130099988507
"209","2020-05-30","transit",0.278358809332261
"210","2020-05-31","transit",0.244224801746926
"211","2020-06-01","transit",0.279623031835421
"212","2020-06-02","transit",0.280657395701643
"213","2020-06-03","transit",0.257096885415469
"214","2020-06-04","transit",0.285369497758878
"215","2020-06-05","transit",0.276979657510631
"216","2020-06-06","transit",0.303643259395472
"217","2020-06-07","transit",0.29054131708999
"218","2020-06-08","transit",0.341225146534881
"219","2020-06-09","transit",0.349270198827721
"220","2020-06-10","transit",0.339731065394782
"221","2020-06-11","transit",0.314906332605448
"222","2020-06-12","transit",0.376968164578784
"223","2020-06-13","transit",0.351798643834042
"224","2020-06-14","transit",0.320652798528905
"225","2020-06-15","transit",0.360188484082289
"226","2020-06-16","transit",0.371681415929204
"227","2020-06-17","transit",0.368348465693598
"228","2020-06-18","transit",0.371336627973796
"229","2020-06-19","transit",0.430755085622342
"230","2020-06-20","transit",0.378117457763475
"231","2020-06-21","transit",0.331571083783473
"232","2020-06-22","transit",0.425238478335823
"233","2020-06-23","transit",0.434662682450293
"234","2020-06-24","transit",0.433858177221009
"235","2020-06-25","transit",0.439259855189059
"236","2020-06-26","transit",0.477186530283875
"237","2020-06-27","transit",0.407309504654637
"238","2020-06-28","transit",0.39351798643834
"239","2020-06-29","transit",0.465578669118492
"240","2020-06-30","transit",0.445121250430985
"241","2020-03-01","walking",1
"242","2020-03-02","walking",0.994101150759114
"243","2020-03-03","walking",0.960835509138381
"244","2020-03-04","walking",1.06653128324147
"245","2020-03-05","walking",1.11159462334397
"246","2020-03-06","walking",1.17338748670341
"247","2020-03-07","walking",1.43080939947781
"248","2020-03-08","walking",1.06682139058118
"249","2020-03-09","walking",1.10772652548109
"250","2020-03-10","walking",0.987331979499081
"251","2020-03-11","walking",0.938787351319988
"252","2020-03-12","walking",0.802823711439899
"253","2020-03-13","walking",0.840634368049512
"254","2020-03-14","walking",0.781935982980369
"255","2020-03-15","walking",0.514650420655643
"256","2020-03-16","walking",0.43554781935983
"257","2020-03-17","walking",0.372497824194952
"258","2020-03-18","walking",0.367565999419785
"259","2020-03-19","walking",0.319118073687264
"260","2020-03-20","walking",0.37288463398124
"261","2020-03-21","walking",0.311671985301228
"262","2020-03-22","walking",0.214872836282758
"263","2020-03-23","walking",0.183541243593463
"264","2020-03-24","walking",0.261676820423557
"265","2020-03-25","walking",0.212068465332173
"266","2020-03-26","walking",0.262063630209844
"267","2020-03-27","walking",0.296876510975728
"268","2020-03-28","walking",0.199303742384682
"269","2020-03-29","walking",0.176288560100571
"270","2020-03-30","walking",0.226863939657673
"271","2020-03-31","walking",0.222028817329078
"272","2020-04-01","walking",0.242433033555749
"273","2020-04-02","walking",0.232762788898559
"274","2020-04-03","walking",0.229184798375399
"275","2020-04-04","walking",0.253940624697805
"276","2020-04-05","walking",0.212358572671889
"277","2020-04-06","walking",0.264287786480998
"278","2020-04-07","walking",0.255391161396383
"279","2020-04-08","walking",0.240112174838023
"280","2020-04-09","walking",0.208103665022725
"281","2020-04-10","walking",0.232182574219128
"282","2020-04-11","walking",0.259162556812687
"283","2020-04-12","walking",0.19814331302582
"284","2020-04-13","walking",0.185862102311188
"285","2020-04-14","walking",0.257421912774393
"286","2020-04-15","walking",0.249879121941785
"287","2020-04-16","walking",0.241756116429746
"288","2020-04-17","walking",0.262257035102988
"289","2020-04-18","walking",0.230538632627405
"290","2020-04-19","walking",0.261676820423557
"291","2020-04-20","walking",0.259936176385263
"292","2020-04-21","walking",0.224543080939948
"293","2020-04-22","walking",0.2587757470264
"294","2020-04-23","walking",0.247364858330916
"295","2020-04-24","walking",0.249395609708926
"296","2020-04-25","walking",0.336621216516778
"297","2020-04-26","walking",0.187312639009767
"298","2020-04-27","walking",0.244947297166618
"299","2020-04-28","walking",0.320085098152983
"300","2020-04-29","walking",0.264868001160429
"301","2020-04-30","walking",0.25065274151436
"302","2020-05-01","walking",0.31583019050382
"303","2020-05-02","walking",0.413016149308578
"304","2020-05-03","walking",0.350352963929987
"305","2020-05-04","walking",0.32095542017213
"306","2020-05-05","walking",0.34077942171937
"307","2020-05-06","walking",0.281984334203655
"308","2020-05-07","walking",0.355768300938014
"309","2020-05-08","walking",0.303935789575476
"310","2020-05-09","walking",0.322696064210425
"311","2020-05-10","walking",0.317667536988686
"312","2020-05-13","walking",0.37240112174838
"313","2020-05-14","walking",0.382651581085001
"314","2020-05-15","walking",0.468716758533991
"315","2020-05-16","walking",0.487477033168939
"316","2020-05-17","walking",0.385939464268446
"317","2020-05-18","walking",0.381491151726139
"318","2020-05-19","walking",0.399284401895368
"319","2020-05-20","walking",0.415723817812591
"320","2020-05-21","walking",0.443574122425297
"321","2020-05-22","walking",0.475969442026883
"322","2020-05-23","walking",0.364664926022628
"323","2020-05-24","walking",0.44067304902814
"324","2020-05-25","walking",0.415820520259163
"325","2020-05-26","walking",0.465428875350546
"326","2020-05-27","walking",0.472681558843439
"327","2020-05-28","walking",0.432163233729813
"328","2020-05-29","walking",0.491345131031815
"329","2020-05-30","walking",0.578860845179383
"330","2020-05-31","walking",0.469973890339426
"331","2020-06-01","walking",0.487380330722367
"332","2020-06-02","walking",0.470747509912001
"333","2020-06-03","walking",0.417947974083744
"334","2020-06-04","walking",0.50024175611643
"335","2020-06-05","walking",0.472101344164007
"336","2020-06-06","walking",0.567063146697611
"337","2020-06-07","walking",0.501595590368436
"338","2020-06-08","walking",0.518131708732231
"339","2020-06-09","walking",0.555458853108984
"340","2020-06-10","walking",0.533120587950875
"341","2020-06-11","walking",0.463204719079393
"342","2020-06-12","walking",0.654868968184895
"343","2020-06-13","walking",0.659413983173774
"344","2020-06-14","walking",0.523063533507398
"345","2020-06-15","walking",0.539019437191761
"346","2020-06-16","walking",0.580117976984818
"347","2020-06-17","walking",0.573252103278213
"348","2020-06-18","walking",0.574896044869935
"349","2020-06-19","walking",0.738419882023015
"350","2020-06-20","walking",0.663958998162653
"351","2020-06-21","walking",0.49008799922638
"352","2020-06-22","walking",0.599941978532057
"353","2020-06-23","walking",0.647519582245431
"354","2020-06-24","walking",0.638622957160816
"355","2020-06-25","walking",0.660187602746349
"356","2020-06-26","walking",0.767817425780872
"357","2020-06-27","walking",0.650323953196016
"358","2020-06-28","walking",0.573445508171357
"359","2020-06-29","walking",0.645005318634561
"360","2020-06-30","walking",0.631757083454211
